"MAKE_CODE";"MIN_KW";"MAX_KW";"VALUE";"VALID_FROM";"VALID_TO"
"5";"0";"33";"0.77";"2010-01-01";"2010-12-31"
"5";"34";"45";"0.95";"2010-01-01";"2010-12-31"
"5";"46";"55";"0.93";"2010-01-01";"2010-12-31"
"5";"56";"66";"0.95";"2010-01-01";"2010-12-31"
"5";"67";"75";"0.95";"2010-01-01";"2010-12-31"
"5";"76";"85";"0.95";"2010-01-01";"2010-12-31"
"5";"86";"100";"0.94";"2010-01-01";"2010-12-31"
"5";"101";"120";"0.94";"2010-01-01";"2010-12-31"
"5";"121";"150";"0.94";"2010-01-01";"2010-12-31"
"5";"151";"200";"0.96";"2010-01-01";"2010-12-31"
"5";"200";"999999";"0.99";"2010-01-01";"2010-12-31"
"10";"0";"33";"0.83";"2010-01-01";"2010-12-31"
"10";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"10";"46";"55";"0.99";"2010-01-01";"2010-12-31"
"10";"56";"66";"0.99";"2010-01-01";"2010-12-31"
"10";"67";"75";"0.99";"2010-01-01";"2010-12-31"
"10";"76";"85";"0.99";"2010-01-01";"2010-12-31"
"10";"86";"100";"0.94";"2010-01-01";"2010-12-31"
"10";"101";"120";"0.95";"2010-01-01";"2010-12-31"
"10";"121";"150";"0.95";"2010-01-01";"2010-12-31"
"10";"151";"200";"0.95";"2010-01-01";"2010-12-31"
"10";"200";"999999";"0.95";"2010-01-01";"2010-12-31"
"13";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"13";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"13";"46";"55";"0.94";"2010-01-01";"2010-12-31"
"13";"56";"66";"0.94";"2010-01-01";"2010-12-31"
"13";"67";"75";"0.94";"2010-01-01";"2010-12-31"
"13";"76";"85";"0.94";"2010-01-01";"2010-12-31"
"13";"86";"100";"0.92";"2010-01-01";"2010-12-31"
"13";"101";"120";"0.94";"2010-01-01";"2010-12-31"
"13";"121";"150";"0.94";"2010-01-01";"2010-12-31"
"13";"151";"200";"0.94";"2010-01-01";"2010-12-31"
"13";"200";"999999";"0.94";"2010-01-01";"2010-12-31"
"17";"0";"33";"0.84";"2010-01-01";"2010-12-31"
"17";"34";"45";"0.81";"2010-01-01";"2010-12-31"
"17";"46";"55";"0.86";"2010-01-01";"2010-12-31"
"17";"56";"66";"0.84";"2010-01-01";"2010-12-31"
"17";"67";"75";"0.83";"2010-01-01";"2010-12-31"
"17";"76";"85";"0.92";"2010-01-01";"2010-12-31"
"17";"86";"100";"0.88";"2010-01-01";"2010-12-31"
"17";"101";"120";"0.9";"2010-01-01";"2010-12-31"
"17";"121";"150";"0.83";"2010-01-01";"2010-12-31"
"17";"151";"200";"0.84";"2010-01-01";"2010-12-31"
"17";"200";"999999";"0.90";"2010-01-01";"2010-12-31"
"19";"0";"33";"0.65";"2010-01-01";"2010-12-31"
"19";"34";"45";"0.65";"2010-01-01";"2010-12-31"
"19";"46";"55";"0.72";"2010-01-01";"2010-12-31"
"19";"56";"66";"0.71";"2010-01-01";"2010-12-31"
"19";"67";"75";"0.71";"2010-01-01";"2010-12-31"
"19";"76";"85";"0.71";"2010-01-01";"2010-12-31"
"19";"86";"100";"0.71";"2010-01-01";"2010-12-31"
"19";"101";"120";"0.71";"2010-01-01";"2010-12-31"
"19";"121";"150";"0.71";"2010-01-01";"2010-12-31"
"19";"151";"200";"0.71";"2010-01-01";"2010-12-31"
"19";"200";"999999";"0.71";"2010-01-01";"2010-12-31"
"21";"0";"33";"0.88";"2010-01-01";"2010-12-31"
"21";"34";"45";"0.83";"2010-01-01";"2010-12-31"
"21";"46";"55";"0.79";"2010-01-01";"2010-12-31"
"21";"56";"66";"0.81";"2010-01-01";"2010-12-31"
